 begins_at open_price close_price high_price low_price volume session interpolated symbol
0 2016-02-17T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
1 2016-02-18T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
2 2016-02-19T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
3 2016-02-20T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
4 2016-02-21T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
5 2016-02-22T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
6 2016-02-23T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
7 2016-02-24T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
8 2016-02-25T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
9 2016-02-26T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
10 2016-02-27T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
11 2016-02-28T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
12 2016-02-29T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
13 2016-03-01T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
14 2016-03-02T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
15 2016-03-03T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
16 2016-03-04T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
17 2016-03-05T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
18 2016-03-06T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
19 2016-03-07T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
20 2016-03-08T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
21 2016-03-09T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
22 2016-03-10T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
23 2016-03-11T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
24 2016-03-12T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
25 2016-03-13T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
26 2016-03-14T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
27 2016-03-15T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
28 2016-03-16T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
29 2016-03-17T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
30 2016-03-18T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
31 2016-03-19T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
32 2016-03-20T00:00:00Z 6.420000 6.420000 6.420000 6.420000 0 reg True QTUMUSD
